timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764138842356,467,0.037000,0.973000,-0.137000,126,127,126,hug
1764138842376,471,0.037000,0.974000,-0.134000,126,127,126,hug
1764138842397,476,0.037000,0.973000,-0.136000,126,127,127,hug
1764138842417,476,0.038000,0.973000,-0.138000,126,127,127,hug
1764138842437,479,0.038000,0.973000,-0.137000,126,127,127,hug
1764138842457,480,0.038000,0.974000,-0.137000,126,127,127,hug
1764138842478,477,0.039000,0.973000,-0.138000,126,127,126,hug
1764138842498,476,0.038000,0.974000,-0.135000,127,127,126,hug
1764138842520,477,0.037000,0.975000,-0.141000,127,127,127,hug
1764138842540,479,0.036000,0.974000,-0.141000,127,127,127,hug
1764138842561,480,0.035000,0.973000,-0.141000,127,127,127,hug
1764138842582,479,0.035000,0.973000,-0.143000,127,127,127,hug
1764138842603,476,0.036000,0.973000,-0.142000,127,127,127,hug
1764138842624,474,0.036000,0.974000,-0.141000,127,127,127,hug
1764138842647,469,0.038000,0.974000,-0.141000,127,127,127,hug
1764138842667,466,0.040000,0.975000,-0.142000,126,127,127,hug
1764138842688,466,0.040000,0.973000,-0.140000,126,127,126,hug
1764138842708,466,0.039000,0.973000,-0.141000,126,127,126,hug
1764138842729,465,0.038000,0.970000,-0.140000,126,127,127,hug
1764138842749,465,-0.017000,0.938000,-0.116000,127,127,127,hug
1764138842771,463,-0.024000,0.936000,-0.116000,127,127,127,hug
1764138842792,466,-0.015000,0.939000,-0.116000,127,127,127,hug
1764138842813,467,-0.013000,0.941000,-0.119000,127,127,127,hug
1764138842833,470,0.026000,0.976000,-0.136000,127,127,127,hug
1764138842853,471,0.042000,0.972000,-0.153000,127,127,127,hug
1764138842874,473,0.049000,0.974000,-0.156000,127,127,127,hug
1764138842894,476,0.041000,0.970000,-0.159000,127,127,127,hug
1764138842915,476,0.041000,0.970000,-0.160000,127,127,127,hug
1764138842935,478,0.039000,0.969000,-0.158000,127,127,127,hug
1764138842956,475,0.039000,0.969000,-0.158000,127,127,127,hug
1764138842975,469,0.041000,0.969000,-0.160000,127,127,127,hug
1764138842996,458,0.040000,0.969000,-0.160000,126,127,126,hug
1764138843016,442,0.041000,0.970000,-0.160000,126,127,126,hug
1764138843037,417,0.040000,0.971000,-0.161000,126,127,126,hug
1764138843058,403,0.040000,0.970000,-0.159000,126,127,126,hug
1764138843079,390,0.040000,0.970000,-0.159000,126,127,126,hug
1764138843099,382,0.040000,0.970000,-0.158000,126,127,126,hug
1764138843120,379,0.039000,0.970000,-0.158000,126,127,126,hug
1764138843140,377,0.040000,0.970000,-0.159000,126,127,126,hug
1764138843161,378,0.040000,0.970000,-0.157000,126,127,126,hug
1764138843181,382,0.040000,0.969000,-0.156000,126,127,126,hug
1764138843201,385,0.038000,0.969000,-0.158000,126,127,126,hug
1764138843221,389,0.039000,0.969000,-0.157000,126,127,126,hug
1764138843242,393,0.039000,0.969000,-0.156000,126,127,126,hug
1764138843262,401,0.039000,0.969000,-0.155000,126,127,126,hug
1764138843283,405,0.038000,0.969000,-0.154000,126,127,126,hug
1764138843304,413,0.039000,0.969000,-0.156000,126,127,126,hug
1764138843324,420,0.039000,0.969000,-0.154000,126,127,127,hug
1764138843345,427,0.039000,0.970000,-0.155000,126,127,127,hug
